ABG-organisatie; Alphen; art. 1.2.1.h. WGR; JenV
Dienst Wegverkeer (RDW); Zoetermeer; art. 1.2.1.h. ZBO; IenW
Divosa, de landelijke vereniging van leidinggevenden van gemeentelijke diensten op het terrein van werk, inkomen en zorg; Utrecht; art. 1.3.1.c. subsidie; SZW
Doelgroepenvervoer Regio Arnhem-Nijmegen; Arnhem; art. 1.2.1.h. WGR; BZK
Dunea N.V.; Zoetermeer; bijlagen WNT; IenW
Duo+; Ouderkerk aan de Amstel; art. 1.2.1.h. WGR; BZK
Duurzaam Bedrijf Haarlemmermeer B.V.; Hoofddorp; art. 1.3.1.b. invloed; BZK
Edelmetaal Waarborg Nederland B.V.; Joure; art. 1.3.1.a. openbaar gezag; EZK
ELAN Zuidoost Friesland; Beetsterzwaag; art. 1.3.1.c. subsidie; BZK
EMCO-Groep; Emmen; art. 1.2.1.h. WGR; BZK
Enduris BV; Goes; bijlagen WNT; EZK
Energiebedrijf Haarlemmermeer B.V.; Hoofddorp; art. 1.3.1.b. invloed; BZK
Enexis Netbeheer B.V.; 's-Hertogenbosch; bijlagen WNT; EZK
Erfgoedcentrum Achterhoek en Liemers; Doetinchem; art. 1.2.1.h. WGR; BZK
European Urban Knowledge Network Grouping of Territorial Cooperation (EUKN EGTC); 's-Gravenhage; art. 1.3.1.c. subsidie; BZK
Evides N.V.; Rotterdam; bijlagen WNT; IenW
Exploitatie Tiliander-Den Boogaard B.V.; Oisterwijk; art. 1.3.1.c. subsidie; BZK
Exploitatiemaatschappij Bedrijvenpark Drachten; Drachten; art. 1.2.1.h. WGR; BZK
Federatie van Nederlandse Verenigingen tot Integratie van Homoseksualiteit COC Nederland; Amsterdam; bijlagen WNT; BZ
Fonds Nazorg Gesloten Stortplaatsen Provincie Noord-Brabant; 's-Hertogenbosch; art. 1.2.1.h. WGR; BZK
Fonds nazorg gesloten stortplaatsen provincie Noord-Holland; Haarlem; art. 1.2.1.h. WGR; BZK
Fonds Nazorg Stortplaatsen Gelderland; Arnhem; art. 1.2.1.h. WGR; BZK
Fryske Utfieringstsjinst Miljeu en Omjouwing; Grou; art. 1.2.1.h. WGR; BZK
Gebiedscoöperatie It Lege Midden U.A.; Akkrum; art. 1.3.1.c. subsidie; BZK
Gebiedscoöperatie Noord-Holland Zuid U.A.; Amstelveen; art. 1.3.1.c. subsidie; BZK
Gebiedscoöperatie O-gen UA; Scherpenzeel; art. 1.3.1.b. invloed; BZK
Gebiedscoöperatie Rijn Vecht en Venen U.A.; Loenen aan de Vecht; art. 1.3.1.c. subsidie; BZK
Gelders Archief; Arnhem; art. 1.2.1.h. WGR; BZK
Gemeenschappelijk regeling Alblasserwaard-Vijfheerenlanden; Gorinchem; art. 1.2.1.h. WGR; BZK
Gemeenschappelijke Gezondheidsdienst Hollands Noorden; Alkmaar; art. 1.2.1.h. WGR; BZK
Gemeenschappelijke Gezondheidsdienst Zeeland; Goes; art. 1.2.1.h. WGR; BZK
Gemeenschappelijke regeling 1Stroom; Westervoort; art. 1.2.1.h. WGR; BZK
Gemeenschappelijke regeling Afval Verwijdering Utrecht; Soest; art. 1.2.1.h. WGR; BZK
Gemeenschappelijke Regeling Avres; Gorinchem; art. 1.2.1.h. WGR; BZK
Gemeenschappelijke regeling Bedrijfsvoeringsorganisatie Centrum Jeugd en Gezin Drimmelen Geertruidenberg; Geertruidenberg; art. 1.2.1.h. WGR; BZK
Gemeenschappelijke Regeling Bedrijfsvoeringsorganisatie Delft-Rijswijk; Delft; art. 1.2.1.h. WGR; BZK
Gemeenschappelijke Regeling Bedrijfsvoeringsorganisatie Reinigingsdienst Waardlanden; Gorinchem; art. 1.2.1.h. WGR; BZK
Gemeenschappelijke Regeling Belastingsamenwerking gemeenten en hoogheemraadschap Utrecht (BghU); Utrecht; art. 1.2.1.h. WGR; BZK
Gemeenschappelijke Regeling Belastingsamenwerking SaBeWa Zeeland; Terneuzen; art. 1.2.1.h. WGR; BZK
Gemeenschappelijke Regeling Belastingsamenwerking West-Brabant; Etten-Leur; art. 1.2.1.h. WGR; BZK
Gemeenschappelijke Regeling BLINK; Helmond; art. 1.2.1.h. WGR; BZK
Gemeenschappelijke Regeling Bureau Openbare Verlichting; Hardinxveld-Giessendam; art. 1.2.1.h. WGR; BZK
Gemeenschappelijke regeling Cure; Eindhoven; art. 1.2.1.h. WGR; BZK
Gemeenschappelijke regeling DCMR Milieudienst Rijnmond; Schiedam; art. 1.2.1.h. WGR; BZK
Gemeenschappelijke Regeling De Waddeneilanden; Harlingen; art. 1.2.1.h. WGR; BZK
Gemeenschappelijke Regeling Diamant Groep; Tilburg; art. 1.2.1.h. WGR; BZK
Gemeenschappelijke Regeling Ferm Werk; Woerden; art. 1.2.1.h. WGR; BZK
